Departure Airport Name,Departure Airport Code,Arrival Airport Name,Arrival Airport Code,DepartureTime,ArrivalTime,Flight_duration,TotalStops,Price,AvailableSeats,FlightNumber
Brussel,BRU,Alicante,ALC,2023-04-12 06:05,2023-04-12 08:50,2u 45m,,59.99,10,1111
Brussel,BRU,Alicante,ALC,2023-04-12 06:10,2023-04-12 08:55,2u 45m,,59.99,8,1113
Antwerpen,ANR,Alicante,ALC,2023-04-12 06:30,2023-04-12 09:10,2u 40m,,124.99,10,1101
Brussel,BRU,Alicante,ALC,2023-04-13 06:05,2023-04-13 08:50,2u 45m,,59.99,12,1111
Brugge-Oostende,OST,Alicante,ALC,2023-04-13 07:00,2023-04-13 09:50,2u 50m,,69.99,10,1171
Antwerpen,ANR,Alicante,ALC,2023-04-13 15:30,2023-04-13 18:10,2u 40m,,99.99,10,1103
Brussel,BRU,Alicante,ALC,2023-04-13 16:25,2023-04-13 19:10,2u 45m,,109.99,10,1113
Luik,LGG,Alicante,ALC,2023-04-14 06:00,2023-04-14 08:45,2u 45m,,99.99,10,1161
Brussel,BRU,Alicante,ALC,2023-04-14 06:20,2023-04-14 10:40,4u 20m,,79.99,10,1419
Brussel,BRU,Alicante,ALC,2023-04-14 06:25,2023-04-14 09:10,2u 45m,,89.99,10,1113
Antwerpen,ANR,Alicante,ALC,2023-04-14 06:30,2023-04-14 09:10,2u 40m,,99.99,10,1101
Brugge-Oostende,OST,Alicante,ALC,2023-04-14 07:00,2023-04-14 09:50,2u 50m,,99.99,10,1183
Brussel,BRU,Alicante,ALC,2023-04-15 06:00,2023-04-15 08:45,2u 45m,,169.99,10,1135
Brugge-Oostende,OST,Alicante,ALC,2023-04-15 06:00,2023-04-15 08:50,2u 50m,,129.99,10,1187
Brussel,BRU,Alicante,ALC,2023-04-15 17:00,2023-04-15 19:45,2u 45m,,69.99,10,1113
Brugge-Oostende,OST,Alicante,ALC,2023-04-16 06:00,2023-04-16 08:50,2u 50m,,119.99,10,1183
Brussel,BRU,Alicante,ALC,2023-04-16 06:10,2023-04-16 08:55,2u 45m,,79.99,8,1111
Antwerpen,ANR,Alicante,ALC,2023-04-16 15:55,2023-04-16 18:35,2u 40m,,199.99,4,1103
Brussel,BRU,Alicante,ALC,2023-04-16 16:30,2023-04-16 19:15,2u 45m,,124.99,10,1113
Luik,LGG,Alicante,ALC,2023-04-17 06:00,2023-04-17 08:45,2u 45m,,99.99,10,1161
Brussel,BRU,Alicante,ALC,2023-04-17 06:05,2023-04-17 08:50,2u 45m,,79.99,10,1111
Brugge-Oostende,OST,Alicante,ALC,2023-04-18 06:00,2023-04-18 08:50,2u 50m,,99.99,10,1171
Brussel,BRU,Alicante,ALC,2023-04-18 06:15,2023-04-18 09:00,2u 45m,,129.99,10,1135
Antwerpen,ANR,Alicante,ALC,2023-04-18 07:30,2023-04-18 10:10,2u 40m,,249.99,2,1101
Brussel,BRU,Alicante,ALC,2023-04-13 06:05,2023-04-13 08:50,2u 45m,,59.99,12,1111
Brugge-Oostende,OST,Alicante,ALC,2023-04-13 07:00,2023-04-13 09:50,2u 50m,,69.99,10,1171
