Departure Airport Name,Departure Airport Code,Arrival Airport Name,Arrival Airport Code,DepartureTime,ArrivalTime,Flight_duration,TotalStops,Price,AvailableSeats,FlightNumber
Brugge-Oostende,OST,Alicante,ALC,2023-04-15 06:00,2023-04-15 08:50,2u 50m,,75.99,3,1187
Brussel,BRU,Alicante,ALC,2023-04-15 06:00,2023-04-15 08:45,2u 45m,,83.99,1,1135
Brussel,BRU,Alicante,ALC,2023-04-15 17:00,2023-04-15 19:45,2u 45m,,59.99,9,1113
Brugge-Oostende,OST,Alicante,ALC,2023-04-16 06:00,2023-04-16 08:50,2u 50m,,104.99,1,1183
Brussel,BRU,Alicante,ALC,2023-04-16 06:10,2023-04-16 08:55,2u 45m,,71.99,4,1111
Antwerpen,ANR,Alicante,ALC,2023-04-16 15:55,2023-04-16 18:35,2u 40m,,99.99,3,1103
Brussel,BRU,Alicante,ALC,2023-04-16 16:30,2023-04-16 19:15,2u 45m,,89.99,7,1113
Luik,LGG,Alicante,ALC,2023-04-17 06:00,2023-04-17 08:45,2u 45m,,99.99,10,1161
Brussel,BRU,Alicante,ALC,2023-04-17 06:05,2023-04-17 08:50,2u 45m,,124.99,9,1111
Brussel,BRU,Alicante,ALC,2023-04-15 06:00,2023-04-15 08:45,2u 45m,,83.99,1,1135
Brugge-Oostende,OST,Alicante,ALC,2023-04-15 06:00,2023-04-15 08:50,2u 50m,,75.99,3,1187
Brussel,BRU,Alicante,ALC,2023-04-15 17:00,2023-04-15 19:45,2u 45m,,59.99,9,1113
Brugge-Oostende,OST,Alicante,ALC,2023-04-16 06:00,2023-04-16 08:50,2u 50m,,104.99,1,1183
Brussel,BRU,Alicante,ALC,2023-04-16 06:10,2023-04-16 08:55,2u 45m,,71.99,4,1111
Antwerpen,ANR,Alicante,ALC,2023-04-16 15:55,2023-04-16 18:35,2u 40m,,99.99,3,1103
Brussel,BRU,Alicante,ALC,2023-04-16 16:30,2023-04-16 19:15,2u 45m,,89.99,7,1113
Luik,LGG,Alicante,ALC,2023-04-17 06:00,2023-04-17 08:45,2u 45m,,99.99,10,1161
Brussel,BRU,Alicante,ALC,2023-04-17 06:05,2023-04-17 08:50,2u 45m,,124.99,9,1111
Brugge-Oostende,OST,Alicante,ALC,2023-04-18 06:00,2023-04-18 08:50,2u 50m,,95.99,10,1171
Brussel,BRU,Alicante,ALC,2023-04-18 06:15,2023-04-18 09:00,2u 45m,,99.99,10,1135
