departure_airport_name,departure_airport_code,destination_airport_name,destination_airport_code,price,departure_date,flight_duration,date_scraped
Brugge-Oostende,OST,Alicante,ALC,18:30,21:15,2u 45m,,194.99,7,1171,2023-03-16 08:39:38.972148
Antwerpen,ANR,Malaga,AGP,13:35,16:40,3u 5m,,244.99,3,1001,2023-03-16 08:40:01.718155
Brussel,BRU,Malaga,AGP,06:05,09:10,3u 5m,,179.99,10,1011,2023-03-16 08:40:01.718155
Luik,LGG,Malaga,AGP,06:00,10:45,4u 45m,,169.99,10,1161,2023-03-16 08:40:01.718155
Brussel,BRU,Malaga,AGP,06:05,09:10,3u 5m,,154.99,10,1011,2023-03-16 08:40:01.719152
Brussel,BRU,Tenerife,TFS,06:15,10:15,5u 0m,,93.99,10,1751,2023-03-16 08:40:24.422086
Brugge-Oostende,OST,Tenerife,TFS,07:20,11:25,5u 5m,,179.99,6,1801,2023-03-16 08:40:24.422086
Luik,LGG,Tenerife,TFS,08:00,13:25,6u 25m,,65.99,10,1603,2023-03-16 08:40:24.423082
Brussel,BRU,Tenerife,TFS,13:15,17:15,5u 0m,,89.99,10,1751,2023-03-16 08:40:24.423082
Brussel,BRU,Tenerife,TFS,07:00,11:00,5u 0m,,99.99,10,1763,2023-03-16 08:40:24.423082
Brugge-Oostende,OST,Tenerife,TFS,09:25,14:55,6u 30m,,69.99,10,1631,2023-03-16 08:40:24.423082
Brugge-Oostende,OST,Tenerife,TFS,08:30,12:35,5u 5m,,69.99,10,1801,2023-03-16 08:40:24.424093
Brussel,BRU,Tenerife,TFS,13:15,17:15,5u 0m,,69.99,10,1751,2023-03-16 08:40:24.424093
Brussel,BRU,Tenerife,TFS,06:00,10:00,5u 0m,,93.99,10,1751,2023-03-16 08:40:24.424093
Brussel,BRU,Tenerife,TFS,07:15,11:15,5u 0m,,99.99,10,1765,2023-03-16 08:40:24.425073
Luik,LGG,Tenerife,TFS,08:00,13:25,6u 25m,,69.99,10,1603,2023-03-16 08:40:24.425073
Brugge-Oostende,OST,Tenerife,TFS,09:00,14:30,6u 30m,,79.99,10,1631,2023-03-16 08:40:24.425073
Brussel,BRU,Tenerife,TFS,07:15,12:50,6u 35m,,144.99,10,1717,2023-03-16 08:40:24.425073
Brugge-Oostende,OST,Tenerife,TFS,13:00,18:30,6u 30m,,69.99,10,1631,2023-03-16 08:40:24.426071
Brussel,BRU,Tenerife,TFS,13:00,18:20,6u 20m,,129.99,10,1661,2023-03-16 08:40:24.426071
Brugge-Oostende,OST,Alicante,ALC,06:00,08:45,2u 45m,,199.99,2,1171,2023-03-16 08:42:34.271627
Brussel,BRU,Alicante,ALC,12:55,15:40,2u 45m,,214.99,2,1111,2023-03-16 08:42:34.271627
Brussel,BRU,Alicante,ALC,06:05,08:50,2u 45m,,129.99,10,1111,2023-03-16 08:42:34.272624
Antwerpen,ANR,Alicante,ALC,06:30,09:15,2u 45m,,149.99,9,1101,2023-03-16 08:42:34.272624
