Departure Airport Name,Departure Airport Code,Arrival Airport Name,Arrival Airport Code,DepartureTime,ArrivalTime,Flight_duration,TotalStops,Price,AvailableSeats,FlightNumber
Antwerpen,ANR,Alicante,ALC,2023-04-11 08:35,2023-04-11 11:15,2u 40m,,99.99,10,1103
Brugge-Oostende,OST,Alicante,ALC,2023-04-12 06:00,2023-04-12 08:50,2u 50m,,99.99,10,1171
Brussel,BRU,Alicante,ALC,2023-04-12 06:05,2023-04-12 08:50,2u 45m,,79.99,10,1111
Brussel,BRU,Alicante,ALC,2023-04-12 06:10,2023-04-12 08:55,2u 45m,,75.99,10,1113
Antwerpen,ANR,Alicante,ALC,2023-04-12 06:30,2023-04-12 09:10,2u 40m,,77.99,10,1101
Brussel,BRU,Alicante,ALC,2023-04-13 06:05,2023-04-13 08:50,2u 45m,,59.99,10,1111
Brugge-Oostende,OST,Alicante,ALC,2023-04-13 07:00,2023-04-13 09:50,2u 50m,,59.99,8,1171
Antwerpen,ANR,Alicante,ALC,2023-04-13 15:30,2023-04-13 18:10,2u 40m,,99.99,10,1103
Brussel,BRU,Alicante,ALC,2023-04-13 16:25,2023-04-13 19:10,2u 45m,,59.99,10,1113
Luik,LGG,Alicante,ALC,2023-04-14 06:00,2023-04-14 08:45,2u 45m,,95.99,10,1161
Brussel,BRU,Alicante,ALC,2023-04-14 06:20,2023-04-14 10:40,4u 20m,,69.99,10,1419
Brussel,BRU,Alicante,ALC,2023-04-14 06:25,2023-04-14 09:10,2u 45m,,59.99,10,1113
Antwerpen,ANR,Alicante,ALC,2023-04-14 06:30,2023-04-14 09:10,2u 40m,,99.99,10,1101
Brugge-Oostende,OST,Alicante,ALC,2023-04-14 07:00,2023-04-14 09:50,2u 50m,,119.99,10,1183
Brugge-Oostende,OST,Alicante,ALC,2023-04-09 06:00,2023-04-09 08:50,2u 50m,,259.99,5,1183
Brussel,BRU,Alicante,ALC,2023-04-09 06:10,2023-04-09 08:55,2u 45m,,134.99,10,1111
Antwerpen,ANR,Alicante,ALC,2023-04-09 08:30,2023-04-09 11:15,2u 45m,,149.99,10,1101
Antwerpen,ANR,Alicante,ALC,2023-04-09 14:05,2023-04-09 16:45,2u 40m,,99.99,10,1103
Antwerpen,ANR,Alicante,ALC,2023-04-09 15:20,2023-04-09 18:00,2u 40m,,99.99,10,1105
Brussel,BRU,Alicante,ALC,2023-04-09 16:30,2023-04-09 19:15,2u 45m,,129.99,10,1113
Luik,LGG,Alicante,ALC,2023-04-10 06:00,2023-04-10 08:45,2u 45m,,129.99,10,1161
Brussel,BRU,Alicante,ALC,2023-04-10 06:05,2023-04-10 08:50,2u 45m,,99.99,10,1111
