flight_id;from_airport;to_airport;departure_date_time;arrival_date_time;marketing_airline_name;flight_number;price;link
BRUIBZ20230526HV9009;BRU;IBZ;2023-05-26T17:20:00;2023-05-26T19:45:00;HV;9009;182.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=26&om=5&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230527HV9009;BRU;IBZ;2023-05-27T12:30:00;2023-05-27T14:50:00;HV;9009;146.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=27&om=5&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230529HV9009;BRU;IBZ;2023-05-29T06:30:00;2023-05-29T08:55:00;HV;9009;129.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=29&om=5&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230531HV9009;BRU;IBZ;2023-05-31T06:30:00;2023-05-31T08:55:00;HV;9009;100.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=31&om=5&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230602HV9009;BRU;IBZ;2023-06-02T17:20:00;2023-06-02T19:45:00;HV;9009;146.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=2&om=6&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230603HV9009;BRU;IBZ;2023-06-03T12:30:00;2023-06-03T14:50:00;HV;9009;182.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=3&om=6&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230605HV9009;BRU;IBZ;2023-06-05T06:30:00;2023-06-05T08:55:00;HV;9009;114.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=5&om=6&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230607HV9009;BRU;IBZ;2023-06-07T06:30:00;2023-06-07T08:55:00;HV;9009;100.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=7&om=6&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230609HV9009;BRU;IBZ;2023-06-09T17:20:00;2023-06-09T19:45:00;HV;9009;202.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=9&om=6&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230610HV9009;BRU;IBZ;2023-06-10T12:30:00;2023-06-10T14:50:00;HV;9009;182.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=10&om=6&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230612HV9009;BRU;IBZ;2023-06-12T06:30:00;2023-06-12T08:55:00;HV;9009;163.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=12&om=6&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230614HV9009;BRU;IBZ;2023-06-14T06:30:00;2023-06-14T08:55:00;HV;9009;129.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=14&om=6&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230616HV9009;BRU;IBZ;2023-06-16T17:20:00;2023-06-16T19:45:00;HV;9009;146.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=16&om=6&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230617HV9009;BRU;IBZ;2023-06-17T12:30:00;2023-06-17T14:50:00;HV;9009;182.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=17&om=6&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230619HV9009;BRU;IBZ;2023-06-19T06:30:00;2023-06-19T08:55:00;HV;9009;129.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=19&om=6&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230621HV9009;BRU;IBZ;2023-06-21T06:30:00;2023-06-21T08:55:00;HV;9009;146.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=21&om=6&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230623HV9009;BRU;IBZ;2023-06-23T17:20:00;2023-06-23T19:45:00;HV;9009;146.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=23&om=6&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230624HV9009;BRU;IBZ;2023-06-24T12:30:00;2023-06-24T14:50:00;HV;9009;146.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=24&om=6&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230626HV9009;BRU;IBZ;2023-06-26T06:30:00;2023-06-26T08:55:00;HV;9009;66.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=26&om=6&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230628HV9009;BRU;IBZ;2023-06-28T06:30:00;2023-06-28T08:55:00;HV;9009;129.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=28&om=6&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230630HV9023;BRU;IBZ;2023-06-30T16:50:00;2023-06-30T19:15:00;HV;9023;190.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=30&om=6&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230702HV9009;BRU;IBZ;2023-07-02T15:30:00;2023-07-02T17:55:00;HV;9009;190.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=2&om=7&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230703HV9009;BRU;IBZ;2023-07-03T15:35:00;2023-07-03T18:00:00;HV;9009;190.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=3&om=7&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230705HV9009;BRU;IBZ;2023-07-05T06:30:00;2023-07-05T08:55:00;HV;9009;153.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=5&om=7&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230707HV9023;BRU;IBZ;2023-07-07T16:50:00;2023-07-07T19:15:00;HV;9023;190.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=7&om=7&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230709HV9009;BRU;IBZ;2023-07-09T15:30:00;2023-07-09T17:55:00;HV;9009;153.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=9&om=7&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230710HV9009;BRU;IBZ;2023-07-10T15:35:00;2023-07-10T18:00:00;HV;9009;190.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=10&om=7&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230712HV9009;BRU;IBZ;2023-07-12T06:30:00;2023-07-12T08:55:00;HV;9009;64.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=12&om=7&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230714HV9023;BRU;IBZ;2023-07-14T16:50:00;2023-07-14T19:15:00;HV;9023;153.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=14&om=7&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230716HV9009;BRU;IBZ;2023-07-16T15:30:00;2023-07-16T17:55:00;HV;9009;190.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=16&om=7&oy=2023&utm_source=API&utm_medium=Public
