originName,destinationName,dateOut,prijs,timeOut,timeArrival,flightDuration,plaatsenOver,flightKey,flightNumber
Brussels,Malaga,2023-08-14T00:00:00.000,44.57,02:50,-1,FR~2923~ ~~BRU~08/14/2023 17:40~AGP~08/14/2023 20:30~~,FR 2923,2023-08-14T17:40:00.000,2023-08-14T20:30:00.000
Brussels (Charleroi),Malaga,2023-08-17T00:00:00.000,44.03,02:45,1,FR~1916~ ~~CRL~08/17/2023 17:30~AGP~08/17/2023 20:15~~,FR 1916,2023-08-17T17:30:00.000,2023-08-17T20:15:00.000
Brussels (Charleroi),Malaga,2023-08-18T00:00:00.000,46.59,02:45,2,FR~1928~ ~~CRL~08/18/2023 10:00~AGP~08/18/2023 12:45~~,FR 1928,2023-08-18T10:00:00.000,2023-08-18T12:45:00.000
Brussels (Charleroi),Malaga,2023-08-18T00:00:00.000,41.19,02:45,4,FR~1916~ ~~CRL~08/18/2023 20:55~AGP~08/18/2023 23:40~~,FR 1916,2023-08-18T20:55:00.000,2023-08-18T23:40:00.000
Brussels,Malaga,2023-08-20T00:00:00.000,53.17,02:55,-1,FR~2923~ ~~BRU~08/20/2023 09:55~AGP~08/20/2023 12:50~~,FR 2923,2023-08-20T09:55:00.000,2023-08-20T12:50:00.000
Brussels (Charleroi),Malaga,2023-08-20T00:00:00.000,35.88,02:45,5,FR~1916~ ~~CRL~08/20/2023 21:30~AGP~08/21/2023 00:15~~,FR 1916,2023-08-20T21:30:00.000,2023-08-21T00:15:00.000
Brussels,Malaga,2023-08-21T00:00:00.000,45.11,02:50,-1,FR~2923~ ~~BRU~08/21/2023 17:40~AGP~08/21/2023 20:30~~,FR 2923,2023-08-21T17:40:00.000,2023-08-21T20:30:00.000
Brussels (Charleroi),Malaga,2023-08-21T00:00:00.000,57.59,02:45,2,FR~1916~ ~~CRL~08/21/2023 19:20~AGP~08/21/2023 22:05~~,FR 1916,2023-08-21T19:20:00.000,2023-08-21T22:05:00.000
Brussels (Charleroi),Malaga,2023-08-22T00:00:00.000,35.63,02:45,-1,FR~1916~ ~~CRL~08/22/2023 16:00~AGP~08/22/2023 18:45~~,FR 1916,2023-08-22T16:00:00.000,2023-08-22T18:45:00.000
Brussels,Malaga,2023-08-23T00:00:00.000,48.01,02:55,-1,FR~2923~ ~~BRU~08/23/2023 10:05~AGP~08/23/2023 13:00~~,FR 2923,2023-08-23T10:05:00.000,2023-08-23T13:00:00.000
Brussels (Charleroi),Malaga,2023-08-24T00:00:00.000,47.84,02:45,2,FR~1916~ ~~CRL~08/24/2023 17:30~AGP~08/24/2023 20:15~~,FR 1916,2023-08-24T17:30:00.000,2023-08-24T20:15:00.000
Brussels (Charleroi),Malaga,2023-08-26T00:00:00.000,76.39,02:45,-1,FR~1916~ ~~CRL~08/26/2023 13:35~AGP~08/26/2023 16:20~~,FR 1916,2023-08-26T13:35:00.000,2023-08-26T16:20:00.000
Brussels (Charleroi),Malaga,2023-08-30T00:00:00.000,56.94,02:45,2,FR~1916~ ~~CRL~08/30/2023 06:45~AGP~08/30/2023 09:30~~,FR 1916,2023-08-30T06:45:00.000,2023-08-30T09:30:00.000
Brussels (Charleroi),Malaga,2023-09-02T00:00:00.000,109.49,02:45,-1,FR~1916~ ~~CRL~09/02/2023 13:35~AGP~09/02/2023 16:20~~,FR 1916,2023-09-02T13:35:00.000,2023-09-02T16:20:00.000
Brussels,Malaga,2023-09-03T00:00:00.000,94.17,02:55,4,FR~2923~ ~~BRU~09/03/2023 09:55~AGP~09/03/2023 12:50~~,FR 2923,2023-09-03T09:55:00.000,2023-09-03T12:50:00.000
Brussels,Malaga,2023-09-04T00:00:00.000,82.57,02:50,4,FR~2923~ ~~BRU~09/04/2023 17:40~AGP~09/04/2023 20:30~~,FR 2923,2023-09-04T17:40:00.000,2023-09-04T20:30:00.000
Brussels (Charleroi),Malaga,2023-09-04T00:00:00.000,50.99,02:45,-1,FR~1916~ ~~CRL~09/04/2023 19:20~AGP~09/04/2023 22:05~~,FR 1916,2023-09-04T19:20:00.000,2023-09-04T22:05:00.000
Brussels (Charleroi),Malaga,2023-09-05T00:00:00.000,67.12,02:45,3,FR~1916~ ~~CRL~09/05/2023 16:00~AGP~09/05/2023 18:45~~,FR 1916,2023-09-05T16:00:00.000,2023-09-05T18:45:00.000
Brussels,Malaga,2023-09-06T00:00:00.000,96.99,02:55,-1,FR~2923~ ~~BRU~09/06/2023 10:05~AGP~09/06/2023 13:00~~,FR 2923,2023-09-06T10:05:00.000,2023-09-06T13:00:00.000
Brussels (Charleroi),Malaga,2023-09-12T00:00:00.000,88.74,02:45,5,FR~1916~ ~~CRL~09/12/2023 16:00~AGP~09/12/2023 18:45~~,FR 1916,2023-09-12T16:00:00.000,2023-09-12T18:45:00.000
Brussels,Malaga,2023-09-13T00:00:00.000,106.77,02:55,-1,FR~2923~ ~~BRU~09/13/2023 10:05~AGP~09/13/2023 13:00~~,FR 2923,2023-09-13T10:05:00.000,2023-09-13T13:00:00.000
Brussels (Charleroi),Malaga,2023-09-13T00:00:00.000,90.99,02:45,1,FR~1916~ ~~CRL~09/13/2023 06:45~AGP~09/13/2023 09:30~~,FR 1916,2023-09-13T06:45:00.000,2023-09-13T09:30:00.000
Brussels (Charleroi),Malaga,2023-09-14T00:00:00.000,99.8,02:45,3,FR~1916~ ~~CRL~09/14/2023 17:30~AGP~09/14/2023 20:15~~,FR 1916,2023-09-14T17:30:00.000,2023-09-14T20:15:00.000
Brussels (Charleroi),Malaga,2023-09-16T00:00:00.000,114.89,02:45,5,FR~1916~ ~~CRL~09/16/2023 13:35~AGP~09/16/2023 16:20~~,FR 1916,2023-09-16T13:35:00.000,2023-09-16T16:20:00.000
Brussels (Charleroi),Malaga,2023-09-17T00:00:00.000,75.7,02:45,-1,FR~1916~ ~~CRL~09/17/2023 21:30~AGP~09/18/2023 00:15~~,FR 1916,2023-09-17T21:30:00.000,2023-09-18T00:15:00.000
Brussels,Malaga,2023-09-18T00:00:00.000,84.99,02:50,3,FR~2923~ ~~BRU~09/18/2023 17:40~AGP~09/18/2023 20:30~~,FR 2923,2023-09-18T17:40:00.000,2023-09-18T20:30:00.000
Brussels (Charleroi),Malaga,2023-09-18T00:00:00.000,66.49,02:45,1,FR~1916~ ~~CRL~09/18/2023 19:20~AGP~09/18/2023 22:05~~,FR 1916,2023-09-18T19:20:00.000,2023-09-18T22:05:00.000
Brussels,Malaga,2023-09-20T00:00:00.000,111.99,02:55,-1,FR~2923~ ~~BRU~09/20/2023 10:05~AGP~09/20/2023 13:00~~,FR 2923,2023-09-20T10:05:00.000,2023-09-20T13:00:00.000
Brussels (Charleroi),Malaga,2023-09-20T00:00:00.000,88.74,02:45,2,FR~1916~ ~~CRL~09/20/2023 06:45~AGP~09/20/2023 09:30~~,FR 1916,2023-09-20T06:45:00.000,2023-09-20T09:30:00.000
Brussels (Charleroi),Malaga,2023-09-21T00:00:00.000,82.74,02:45,4,FR~1916~ ~~CRL~09/21/2023 17:30~AGP~09/21/2023 20:15~~,FR 1916,2023-09-21T17:30:00.000,2023-09-21T20:15:00.000
Brussels (Charleroi),Malaga,2023-09-24T00:00:00.000,42.15,02:45,1,FR~1916~ ~~CRL~09/24/2023 21:30~AGP~09/25/2023 00:15~~,FR 1916,2023-09-24T21:30:00.000,2023-09-25T00:15:00.000
Brussels (Charleroi),Malaga,2023-09-25T00:00:00.000,36.83,02:45,1,FR~1931~ ~~CRL~09/25/2023 06:40~AGP~09/25/2023 09:25~~,FR 1931,2023-09-25T06:40:00.000,2023-09-25T09:25:00.000
Brussels (Charleroi),Malaga,2023-09-25T00:00:00.000,34.59,02:45,5,FR~1916~ ~~CRL~09/25/2023 19:20~AGP~09/25/2023 22:05~~,FR 1916,2023-09-25T19:20:00.000,2023-09-25T22:05:00.000
Brussels,Malaga,2023-09-27T00:00:00.000,47.58,02:55,5,FR~2923~ ~~BRU~09/27/2023 10:05~AGP~09/27/2023 13:00~~,FR 2923,2023-09-27T10:05:00.000,2023-09-27T13:00:00.000
Brussels (Charleroi),Malaga,2023-09-29T00:00:00.000,100.59,02:45,-1,FR~1928~ ~~CRL~09/29/2023 10:00~AGP~09/29/2023 12:45~~,FR 1928,2023-09-29T10:00:00.000,2023-09-29T12:45:00.000
Brussels (Charleroi),Malaga,2023-09-29T00:00:00.000,66.49,02:45,2,FR~1916~ ~~CRL~09/29/2023 20:55~AGP~09/29/2023 23:40~~,FR 1916,2023-09-29T20:55:00.000,2023-09-29T23:40:00.000
Brussels (Charleroi),Malaga,2023-09-30T00:00:00.000,134.64,02:45,3,FR~1916~ ~~CRL~09/30/2023 13:35~AGP~09/30/2023 16:20~~,FR 1916,2023-09-30T13:35:00.000,2023-09-30T16:20:00.000
Brussels,Malaga,2023-10-01T00:00:00.000,116.57,02:55,-1,FR~2923~ ~~BRU~10/01/2023 09:55~AGP~10/01/2023 12:50~~,FR 2923,2023-10-01T09:55:00.000,2023-10-01T12:50:00.000
Brussels (Charleroi),Mallorca,2023-04-27T00:00:00.000,None,02:10,0,FR~7831~ ~~CRL~04/27/2023 17:45~PMI~04/27/2023 19:55~~,FR 7831,2023-04-27T17:45:00.000,2023-04-27T19:55:00.000
Brussels,Mallorca,2023-05-03T00:00:00.000,156.44,02:15,2,FR~2915~ ~~BRU~05/03/2023 17:25~PMI~05/03/2023 19:40~~,FR 2915,2023-05-03T17:25:00.000,2023-05-03T19:40:00.000
Brussels,Mallorca,2023-05-05T00:00:00.000,135.69,02:15,1,FR~2915~ ~~BRU~05/05/2023 11:00~PMI~05/05/2023 13:15~~,FR 2915,2023-05-05T11:00:00.000,2023-05-05T13:15:00.000
Brussels (Charleroi),Mallorca,2023-05-06T00:00:00.000,82.74,02:10,5,FR~7831~ ~~CRL~05/06/2023 17:20~PMI~05/06/2023 19:30~~,FR 7831,2023-05-06T17:20:00.000,2023-05-06T19:30:00.000
Brussels (Charleroi),Mallorca,2023-05-09T00:00:00.000,65.24,02:10,4,FR~7831~ ~~CRL~05/09/2023 06:35~PMI~05/09/2023 08:45~~,FR 7831,2023-05-09T06:35:00.000,2023-05-09T08:45:00.000
Brussels (Charleroi),Mallorca,2023-05-10T00:00:00.000,55.12,02:10,-1,FR~7831~ ~~CRL~05/10/2023 06:55~PMI~05/10/2023 09:05~~,FR 7831,2023-05-10T06:55:00.000,2023-05-10T09:05:00.000
Brussels,Mallorca,2023-05-12T00:00:00.000,132.94,02:15,5,FR~2915~ ~~BRU~05/12/2023 11:00~PMI~05/12/2023 13:15~~,FR 2915,2023-05-12T11:00:00.000,2023-05-12T13:15:00.000
Brussels (Charleroi),Mallorca,2023-05-13T00:00:00.000,133.59,02:10,4,FR~7831~ ~~CRL~05/13/2023 17:20~PMI~05/13/2023 19:30~~,FR 7831,2023-05-13T17:20:00.000,2023-05-13T19:30:00.000
Brussels,Mallorca,2023-05-15T00:00:00.000,98.24,02:15,3,FR~2915~ ~~BRU~05/15/2023 20:25~PMI~05/15/2023 22:40~~,FR 2915,2023-05-15T20:25:00.000,2023-05-15T22:40:00.000
Brussels (Charleroi),Mallorca,2023-05-15T00:00:00.000,145.87,02:10,-1,FR~7831~ ~~CRL~05/15/2023 08:55~PMI~05/15/2023 11:05~~,FR 7831,2023-05-15T08:55:00.000,2023-05-15T11:05:00.000
Brussels,Mallorca,2023-05-17T00:00:00.000,272.19,02:15,5,FR~2915~ ~~BRU~05/17/2023 17:25~PMI~05/17/2023 19:40~~,FR 2915,2023-05-17T17:25:00.000,2023-05-17T19:40:00.000
Brussels (Charleroi),Mallorca,2023-05-17T00:00:00.000,111.54,02:10,1,FR~7831~ ~~CRL~05/17/2023 06:55~PMI~05/17/2023 09:05~~,FR 7831,2023-05-17T06:55:00.000,2023-05-17T09:05:00.000
Brussels (Charleroi),Mallorca,2023-05-18T00:00:00.000,219.69,02:10,5,FR~7831~ ~~CRL~05/18/2023 16:50~PMI~05/18/2023 19:00~~,FR 7831,2023-05-18T16:50:00.000,2023-05-18T19:00:00.000
Brussels,Mallorca,2023-05-22T00:00:00.000,48.56,02:15,3,FR~2915~ ~~BRU~05/22/2023 20:25~PMI~05/22/2023 22:40~~,FR 2915,2023-05-22T20:25:00.000,2023-05-22T22:40:00.000
Brussels,Mallorca,2023-05-24T00:00:00.000,86.49,02:15,-1,FR~2915~ ~~BRU~05/24/2023 17:25~PMI~05/24/2023 19:40~~,FR 2915,2023-05-24T17:25:00.000,2023-05-24T19:40:00.000
Brussels (Charleroi),Mallorca,2023-05-24T00:00:00.000,35.4,02:10,5,FR~7831~ ~~CRL~05/24/2023 06:55~PMI~05/24/2023 09:05~~,FR 7831,2023-05-24T06:55:00.000,2023-05-24T09:05:00.000
Brussels (Charleroi),Mallorca,2023-05-25T00:00:00.000,128.87,02:10,3,FR~7831~ ~~CRL~05/25/2023 16:50~PMI~05/25/2023 19:00~~,FR 7831,2023-05-25T16:50:00.000,2023-05-25T19:00:00.000
