originName,destinationName,dateOut,prijs,timeOut,timeArrival,flightDuration,plaatsenOver,flightKey,flightNumber
Brussels (Charleroi),Alicante,2023-04-27T00:00:00.000,None,02:25,0,FR~9053~ ~~CRL~04/27/2023 09:00~ALC~04/27/2023 11:25~~,FR 9053,2023-04-27T09:00:00.000,2023-04-27T11:25:00.000
Brussels (Charleroi),Alicante,2023-04-27T00:00:00.000,None,02:25,0,FR~3534~ ~~CRL~04/27/2023 15:05~ALC~04/27/2023 17:30~~,FR 3534,2023-04-27T15:05:00.000,2023-04-27T17:30:00.000
Brussels (Charleroi),Alicante,2023-05-01T00:00:00.000,257.49,02:25,1,FR~3534~ ~~CRL~05/01/2023 16:55~ALC~05/01/2023 19:20~~,FR 3534,2023-05-01T16:55:00.000,2023-05-01T19:20:00.000
Brussels (Charleroi),Alicante,2023-05-02T00:00:00.000,193.49,02:25,-1,FR~3534~ ~~CRL~05/02/2023 06:30~ALC~05/02/2023 08:55~~,FR 3534,2023-05-02T06:30:00.000,2023-05-02T08:55:00.000
Brussels (Charleroi),Alicante,2023-05-02T00:00:00.000,206.99,02:25,3,FR~9053~ ~~CRL~05/02/2023 12:15~ALC~05/02/2023 14:40~~,FR 9053,2023-05-02T12:15:00.000,2023-05-02T14:40:00.000
Brussels (Charleroi),Alicante,2023-05-04T00:00:00.000,131.49,02:25,1,FR~9053~ ~~CRL~05/04/2023 09:00~ALC~05/04/2023 11:25~~,FR 9053,2023-05-04T09:00:00.000,2023-05-04T11:25:00.000
Brussels (Charleroi),Alicante,2023-05-04T00:00:00.000,148.81,02:25,4,FR~3534~ ~~CRL~05/04/2023 15:05~ALC~05/04/2023 17:30~~,FR 3534,2023-05-04T15:05:00.000,2023-05-04T17:30:00.000
Brussels (Charleroi),Alicante,2023-05-08T00:00:00.000,148.81,02:25,-1,FR~3534~ ~~CRL~05/08/2023 16:55~ALC~05/08/2023 19:20~~,FR 3534,2023-05-08T16:55:00.000,2023-05-08T19:20:00.000
Brussels (Charleroi),Alicante,2023-05-09T00:00:00.000,154.09,02:25,4,FR~3534~ ~~CRL~05/09/2023 06:30~ALC~05/09/2023 08:55~~,FR 3534,2023-05-09T06:30:00.000,2023-05-09T08:55:00.000
Brussels (Charleroi),Alicante,2023-05-09T00:00:00.000,113.99,02:25,5,FR~9053~ ~~CRL~05/09/2023 12:15~ALC~05/09/2023 14:40~~,FR 9053,2023-05-09T12:15:00.000,2023-05-09T14:40:00.000
Brussels (Charleroi),Alicante,2023-05-10T00:00:00.000,114.69,02:25,1,FR~3534~ ~~CRL~05/10/2023 10:00~ALC~05/10/2023 12:25~~,FR 3534,2023-05-10T10:00:00.000,2023-05-10T12:25:00.000
Brussels (Charleroi),Alicante,2023-05-10T00:00:00.000,113.99,02:25,-1,FR~9053~ ~~CRL~05/10/2023 11:30~ALC~05/10/2023 13:55~~,FR 9053,2023-05-10T11:30:00.000,2023-05-10T13:55:00.000
Brussels (Charleroi),Alicante,2023-05-10T00:00:00.000,96.89,02:25,5,FR~6063~ ~~CRL~05/10/2023 21:55~ALC~05/11/2023 00:20~~,FR 6063,2023-05-10T21:55:00.000,2023-05-11T00:20:00.000
Brussels (Charleroi),Alicante,2023-05-11T00:00:00.000,126.24,02:25,-1,FR~9053~ ~~CRL~05/11/2023 09:00~ALC~05/11/2023 11:25~~,FR 9053,2023-05-11T09:00:00.000,2023-05-11T11:25:00.000
Brussels (Charleroi),Alicante,2023-05-11T00:00:00.000,131.49,02:25,4,FR~3534~ ~~CRL~05/11/2023 15:05~ALC~05/11/2023 17:30~~,FR 3534,2023-05-11T15:05:00.000,2023-05-11T17:30:00.000
Brussels (Charleroi),Alicante,2023-05-13T00:00:00.000,232.99,02:25,-1,FR~3534~ ~~CRL~05/13/2023 15:50~ALC~05/13/2023 18:15~~,FR 3534,2023-05-13T15:50:00.000,2023-05-13T18:15:00.000
