originName,destinationName,dateOut,prijs,timeOut,timeArrival,flightDuration,plaatsenOver,flightKey,flightNumber
Brussels (Charleroi),Ibiza,2023-08-15T00:00:00.000,40.13,02:25,-1,FR~6456~ ~~CRL~08/15/2023 09:25~IBZ~08/15/2023 11:50~~,FR 6456,2023-08-15T09:25:00.000,2023-08-15T11:50:00.000
Brussels (Charleroi),Alicante,2023-06-10T00:00:00.000,63.68,02:25,-1,FR~3534~ ~~CRL~06/10/2023 15:50~ALC~06/10/2023 18:15~~,FR 3534,2023-06-10T15:50:00.000,2023-06-10T18:15:00.000
Brussels (Charleroi),Alicante,2023-06-10T00:00:00.000,94.99,02:25,2,FR~9053~ ~~CRL~06/10/2023 18:15~ALC~06/10/2023 20:40~~,FR 9053,2023-06-10T18:15:00.000,2023-06-10T20:40:00.000
Brussels (Charleroi),Brindisi,2023-08-06T00:00:00.000,109.99,02:25,-1,FR~7737~ ~~CRL~08/06/2023 17:30~BDS~08/06/2023 19:55~~,FR 7737,2023-08-06T17:30:00.000,2023-08-06T19:55:00.000
Brussels (Charleroi),Malaga,2023-05-29T00:00:00.000,35.4,02:45,-1,FR~1916~ ~~CRL~05/29/2023 19:20~AGP~05/29/2023 22:05~~,FR 1916,2023-05-29T19:20:00.000,2023-05-29T22:05:00.000
Brussels,Malaga,2023-08-21T00:00:00.000,53.17,02:50,3,FR~2923~ ~~BRU~08/21/2023 17:40~AGP~08/21/2023 20:30~~,FR 2923,2023-08-21T17:40:00.000,2023-08-21T20:30:00.000
Brussels (Charleroi),Malaga,2023-07-11T00:00:00.000,203.99,02:45,5,FR~1916~ ~~CRL~07/11/2023 16:00~AGP~07/11/2023 18:45~~,FR 1916,2023-07-11T16:00:00.000,2023-07-11T18:45:00.000
Brussels (Charleroi),Ibiza,2023-08-27T00:00:00.000,59.65,02:25,-1,FR~6456~ ~~CRL~08/27/2023 07:30~IBZ~08/27/2023 09:55~~,FR 6456,2023-08-27T07:30:00.000,2023-08-27T09:55:00.000
Brussels (Charleroi),Mallorca,2023-05-06T00:00:00.000,60.99,02:10,5,FR~7831~ ~~CRL~05/06/2023 17:20~PMI~05/06/2023 19:30~~,FR 7831,2023-05-06T17:20:00.000,2023-05-06T19:30:00.000
Brussels (Charleroi),Ibiza,2023-06-15T00:00:00.000,111.5,02:25,-1,FR~6456~ ~~CRL~06/15/2023 10:20~IBZ~06/15/2023 12:45~~,FR 6456,2023-06-15T10:20:00.000,2023-06-15T12:45:00.000
Brussels (Charleroi),Ibiza,2023-06-04T00:00:00.000,45.32,02:25,-1,FR~6456~ ~~CRL~06/04/2023 07:30~IBZ~06/04/2023 09:55~~,FR 6456,2023-06-04T07:30:00.000,2023-06-04T09:55:00.000
Brussels,Malaga,2023-06-19T00:00:00.000,63.77,02:50,1,FR~2923~ ~~BRU~06/19/2023 17:40~AGP~06/19/2023 20:30~~,FR 2923,2023-06-19T17:40:00.000,2023-06-19T20:30:00.000
Brussels (Charleroi),Alicante,2023-09-27T00:00:00.000,77.09,02:25,-1,FR~3534~ ~~CRL~09/27/2023 10:00~ALC~09/27/2023 12:25~~,FR 3534,2023-09-27T10:00:00.000,2023-09-27T12:25:00.000
Brussels (Charleroi),Alicante,2023-09-27T00:00:00.000,57.59,02:25,3,FR~9053~ ~~CRL~09/27/2023 11:30~ALC~09/27/2023 13:55~~,FR 9053,2023-09-27T11:30:00.000,2023-09-27T13:55:00.000
