originName,destinationName,dateOut,prijs,timeOut,timeArrival,flightDuration,plaatsenOver,flightKey,flightNumber
Brussels (Charleroi),Alicante,2023-04-23T00:00:00.000,None,02:25,0,FR~3534~ ~~CRL~04/23/2023 09:55~ALC~04/23/2023 12:20~~,FR 3534,2023-04-23T09:55:00.000,2023-04-23T12:20:00.000
Brussels (Charleroi),Alicante,2023-04-27T00:00:00.000,398.43,02:25,1,FR~9053~ ~~CRL~04/27/2023 09:00~ALC~04/27/2023 11:25~~,FR 9053,2023-04-27T09:00:00.000,2023-04-27T11:25:00.000
Brussels (Charleroi),Alicante,2023-04-27T00:00:00.000,None,02:25,0,FR~3534~ ~~CRL~04/27/2023 15:05~ALC~04/27/2023 17:30~~,FR 3534,2023-04-27T15:05:00.000,2023-04-27T17:30:00.000
Brussels (Charleroi),Alicante,2023-04-28T00:00:00.000,344.22,02:25,1,FR~3534~ ~~CRL~04/28/2023 09:45~ALC~04/28/2023 12:10~~,FR 3534,2023-04-28T09:45:00.000,2023-04-28T12:10:00.000
Brussels (Charleroi),Alicante,2023-04-28T00:00:00.000,254.22,02:25,4,FR~9053~ ~~CRL~04/28/2023 17:20~ALC~04/28/2023 19:45~~,FR 9053,2023-04-28T17:20:00.000,2023-04-28T19:45:00.000
Brussels (Charleroi),Alicante,2023-04-29T00:00:00.000,344.22,02:25,1,FR~3534~ ~~CRL~04/29/2023 15:50~ALC~04/29/2023 18:15~~,FR 3534,2023-04-29T15:50:00.000,2023-04-29T18:15:00.000
Brussels (Charleroi),Alicante,2023-05-01T00:00:00.000,306.72,02:25,4,FR~3534~ ~~CRL~05/01/2023 16:55~ALC~05/01/2023 19:20~~,FR 3534,2023-05-01T16:55:00.000,2023-05-01T19:20:00.000
Brussels (Charleroi),Alicante,2023-05-02T00:00:00.000,203.99,02:25,-1,FR~3534~ ~~CRL~05/02/2023 06:30~ALC~05/02/2023 08:55~~,FR 3534,2023-05-02T06:30:00.000,2023-05-02T08:55:00.000
Brussels (Charleroi),Alicante,2023-05-02T00:00:00.000,174.99,02:25,4,FR~9053~ ~~CRL~05/02/2023 12:15~ALC~05/02/2023 14:40~~,FR 9053,2023-05-02T12:15:00.000,2023-05-02T14:40:00.000
Brussels (Charleroi),Alicante,2023-05-05T00:00:00.000,135.69,02:25,3,FR~3534~ ~~CRL~05/05/2023 09:45~ALC~05/05/2023 12:10~~,FR 3534,2023-05-05T09:45:00.000,2023-05-05T12:10:00.000
Brussels (Charleroi),Alicante,2023-05-05T00:00:00.000,133.59,02:25,-1,FR~9053~ ~~CRL~05/05/2023 17:20~ALC~05/05/2023 19:45~~,FR 9053,2023-05-05T17:20:00.000,2023-05-05T19:45:00.000
Brussels (Charleroi),Alicante,2023-05-06T00:00:00.000,117.59,02:25,1,FR~3534~ ~~CRL~05/06/2023 15:50~ALC~05/06/2023 18:15~~,FR 3534,2023-05-06T15:50:00.000,2023-05-06T18:15:00.000
Brussels (Charleroi),Alicante,2023-05-07T00:00:00.000,131.49,02:25,2,FR~3534~ ~~CRL~05/07/2023 09:55~ALC~05/07/2023 12:20~~,FR 3534,2023-05-07T09:55:00.000,2023-05-07T12:20:00.000
Brussels (Charleroi),Alicante,2023-05-07T00:00:00.000,96.99,02:25,-1,FR~9053~ ~~CRL~05/07/2023 17:25~ALC~05/07/2023 19:50~~,FR 9053,2023-05-07T17:25:00.000,2023-05-07T19:50:00.000
Brussels (Charleroi),Alicante,2023-05-09T00:00:00.000,151.74,02:25,-1,FR~3534~ ~~CRL~05/09/2023 06:30~ALC~05/09/2023 08:55~~,FR 3534,2023-05-09T06:30:00.000,2023-05-09T08:55:00.000
Brussels (Charleroi),Alicante,2023-05-09T00:00:00.000,128.87,02:25,1,FR~9053~ ~~CRL~05/09/2023 12:15~ALC~05/09/2023 14:40~~,FR 9053,2023-05-09T12:15:00.000,2023-05-09T14:40:00.000
Brussels (Charleroi),Alicante,2023-05-10T00:00:00.000,131.49,02:25,1,FR~3534~ ~~CRL~05/10/2023 10:00~ALC~05/10/2023 12:25~~,FR 3534,2023-05-10T10:00:00.000,2023-05-10T12:25:00.000
Brussels (Charleroi),Alicante,2023-05-10T00:00:00.000,114.69,02:25,-1,FR~9053~ ~~CRL~05/10/2023 11:30~ALC~05/10/2023 13:55~~,FR 9053,2023-05-10T11:30:00.000,2023-05-10T13:55:00.000
Brussels (Charleroi),Alicante,2023-05-10T00:00:00.000,98.99,02:25,1,FR~6063~ ~~CRL~05/10/2023 21:55~ALC~05/11/2023 00:20~~,FR 6063,2023-05-10T21:55:00.000,2023-05-11T00:20:00.000
Brussels (Charleroi),Alicante,2023-05-11T00:00:00.000,99.59,02:25,1,FR~9053~ ~~CRL~05/11/2023 09:00~ALC~05/11/2023 11:25~~,FR 9053,2023-05-11T09:00:00.000,2023-05-11T11:25:00.000
Brussels (Charleroi),Alicante,2023-05-11T00:00:00.000,133.59,02:25,4,FR~3534~ ~~CRL~05/11/2023 15:05~ALC~05/11/2023 17:30~~,FR 3534,2023-05-11T15:05:00.000,2023-05-11T17:30:00.000
Brussels (Charleroi),Alicante,2023-05-16T00:00:00.000,148.81,02:25,-1,FR~3534~ ~~CRL~05/16/2023 06:30~ALC~05/16/2023 08:55~~,FR 3534,2023-05-16T06:30:00.000,2023-05-16T08:55:00.000
Brussels (Charleroi),Alicante,2023-05-16T00:00:00.000,154.09,02:25,3,FR~9053~ ~~CRL~05/16/2023 12:15~ALC~05/16/2023 14:40~~,FR 9053,2023-05-16T12:15:00.000,2023-05-16T14:40:00.000
Brussels (Charleroi),Alicante,2023-05-20T00:00:00.000,114.69,02:25,3,FR~3534~ ~~CRL~05/20/2023 15:50~ALC~05/20/2023 18:15~~,FR 3534,2023-05-20T15:50:00.000,2023-05-20T18:15:00.000
Brussels (Charleroi),Alicante,2023-05-20T00:00:00.000,115.79,02:25,4,FR~9053~ ~~CRL~05/20/2023 18:15~ALC~05/20/2023 20:40~~,FR 9053,2023-05-20T18:15:00.000,2023-05-20T20:40:00.000
Brussels (Charleroi),Alicante,2023-05-22T00:00:00.000,126.24,02:25,3,FR~3534~ ~~CRL~05/22/2023 16:55~ALC~05/22/2023 19:20~~,FR 3534,2023-05-22T16:55:00.000,2023-05-22T19:20:00.000
Brussels (Charleroi),Alicante,2023-05-25T00:00:00.000,82.74,02:25,4,FR~9053~ ~~CRL~05/25/2023 09:00~ALC~05/25/2023 11:25~~,FR 9053,2023-05-25T09:00:00.000,2023-05-25T11:25:00.000
Brussels (Charleroi),Alicante,2023-05-25T00:00:00.000,115.79,02:25,2,FR~3534~ ~~CRL~05/25/2023 15:05~ALC~05/25/2023 17:30~~,FR 3534,2023-05-25T15:05:00.000,2023-05-25T17:30:00.000
Brussels (Charleroi),Alicante,2023-05-31T00:00:00.000,131.49,02:25,-1,FR~3534~ ~~CRL~05/31/2023 10:00~ALC~05/31/2023 12:25~~,FR 3534,2023-05-31T10:00:00.000,2023-05-31T12:25:00.000
Brussels (Charleroi),Alicante,2023-05-31T00:00:00.000,89.49,02:25,3,FR~9053~ ~~CRL~05/31/2023 11:30~ALC~05/31/2023 13:55~~,FR 9053,2023-05-31T11:30:00.000,2023-05-31T13:55:00.000
Brussels (Charleroi),Alicante,2023-05-31T00:00:00.000,67.74,02:25,-1,FR~6063~ ~~CRL~05/31/2023 21:55~ALC~06/01/2023 00:20~~,FR 6063,2023-05-31T21:55:00.000,2023-06-01T00:20:00.000
Brussels (Charleroi),Alicante,2023-06-01T00:00:00.000,115.74,02:25,-1,FR~9053~ ~~CRL~06/01/2023 09:00~ALC~06/01/2023 11:25~~,FR 9053,2023-06-01T09:00:00.000,2023-06-01T11:25:00.000
Brussels (Charleroi),Alicante,2023-06-01T00:00:00.000,86.99,02:25,3,FR~3534~ ~~CRL~06/01/2023 15:05~ALC~06/01/2023 17:30~~,FR 3534,2023-06-01T15:05:00.000,2023-06-01T17:30:00.000
Brussels (Charleroi),Alicante,2023-06-02T00:00:00.000,152.92,02:25,-1,FR~3534~ ~~CRL~06/02/2023 09:45~ALC~06/02/2023 12:10~~,FR 3534,2023-06-02T09:45:00.000,2023-06-02T12:10:00.000
Brussels (Charleroi),Alicante,2023-06-02T00:00:00.000,94.99,02:25,1,FR~9053~ ~~CRL~06/02/2023 17:20~ALC~06/02/2023 19:45~~,FR 9053,2023-06-02T17:20:00.000,2023-06-02T19:45:00.000
Brussels (Charleroi),Alicante,2023-06-03T00:00:00.000,88.59,02:25,-1,FR~3534~ ~~CRL~06/03/2023 15:50~ALC~06/03/2023 18:15~~,FR 3534,2023-06-03T15:50:00.000,2023-06-03T18:15:00.000
