originName,destinationName,dateOut,prijs,timeOut,timeArrival,flightDuration,plaatsenOver,flightKey,flightNumber
Brussels (Charleroi),Alicante,2023-04-21T00:00:00.000,None,02:25,0,FR~3534~ ~~CRL~04/21/2023 09:45~ALC~04/21/2023 12:10~~,FR 3534,2023-04-21T09:45:00.000,2023-04-21T12:10:00.000
Brussels (Charleroi),Alicante,2023-04-21T00:00:00.000,None,02:25,0,FR~9053~ ~~CRL~04/21/2023 17:20~ALC~04/21/2023 19:45~~,FR 9053,2023-04-21T17:20:00.000,2023-04-21T19:45:00.000
Brussels (Charleroi),Alicante,2023-04-22T00:00:00.000,398.43,02:25,1,FR~3534~ ~~CRL~04/22/2023 15:50~ALC~04/22/2023 18:15~~,FR 3534,2023-04-22T15:50:00.000,2023-04-22T18:15:00.000
Brussels (Charleroi),Alicante,2023-04-23T00:00:00.000,None,02:25,0,FR~3534~ ~~CRL~04/23/2023 09:55~ALC~04/23/2023 12:20~~,FR 3534,2023-04-23T09:55:00.000,2023-04-23T12:20:00.000
Brussels (Charleroi),Alicante,2023-04-24T00:00:00.000,407.63,02:25,1,FR~3534~ ~~CRL~04/24/2023 16:55~ALC~04/24/2023 19:20~~,FR 3534,2023-04-24T16:55:00.000,2023-04-24T19:20:00.000
Brussels (Charleroi),Alicante,2023-04-25T00:00:00.000,None,02:25,0,FR~3534~ ~~CRL~04/25/2023 06:30~ALC~04/25/2023 08:55~~,FR 3534,2023-04-25T06:30:00.000,2023-04-25T08:55:00.000
Brussels (Charleroi),Alicante,2023-04-25T00:00:00.000,None,02:25,0,FR~9053~ ~~CRL~04/25/2023 12:15~ALC~04/25/2023 14:40~~,FR 9053,2023-04-25T12:15:00.000,2023-04-25T14:40:00.000
Brussels (Charleroi),Alicante,2023-04-26T00:00:00.000,None,02:25,0,FR~3534~ ~~CRL~04/26/2023 10:00~ALC~04/26/2023 12:25~~,FR 3534,2023-04-26T10:00:00.000,2023-04-26T12:25:00.000
Brussels (Charleroi),Alicante,2023-04-26T00:00:00.000,None,02:25,0,FR~9053~ ~~CRL~04/26/2023 14:45~ALC~04/26/2023 17:10~~,FR 9053,2023-04-26T14:45:00.000,2023-04-26T17:10:00.000
Brussels (Charleroi),Alicante,2023-04-26T00:00:00.000,449.02,02:25,1,FR~6063~ ~~CRL~04/26/2023 21:55~ALC~04/27/2023 00:20~~,FR 6063,2023-04-26T21:55:00.000,2023-04-27T00:20:00.000
